2011-01-18 22:51:47 Notice: Notice (8): Undefined variable: controller in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/votes_controller.php, line 57]
2011-01-18 23:25:19 Notice: Notice (8): Undefined variable: session_id in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 17]
2011-01-18 23:51:13 Notice: Notice (8): Undefined variable: type in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/comments_controller.php, line 32]
2011-01-18 23:51:13 Notice: Notice (8): Undefined variable: type in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/comments_controller.php, line 43]
2011-01-18 23:51:13 Notice: Notice (8): Undefined variable: controller in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/comments_controller.php, line 65]
2011-01-18 23:52:25 Notice: Notice (8): Undefined variable: type in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/comments_controller.php, line 32]
2011-01-18 23:52:25 Notice: Notice (8): Undefined variable: type in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/comments_controller.php, line 43]
2011-01-18 23:52:25 Notice: Notice (8): Undefined variable: controller in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/comments_controller.php, line 65]
2011-01-18 23:52:49 Notice: Notice (8): Undefined variable: type in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/comments_controller.php, line 32]
2011-01-18 23:52:49 Notice: Notice (8): Undefined variable: type in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/comments_controller.php, line 43]
2011-01-18 23:52:49 Notice: Notice (8): Undefined variable: controller in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/comments_controller.php, line 65]
2011-01-18 23:54:57 Notice: Notice (8): Undefined property:  CommentsController::$Vote in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/comments_controller.php, line 40]
2011-01-19 00:15:11 Notice: Notice (8): Undefined variable: comment_chains in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 117]
2011-01-19 01:27:10 Notice: Notice (8): Undefined index:  Invitacion in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/invitations_controller.php, line 36]
2011-01-19 01:28:31 Notice: Notice (8): Undefined index:  Invitacion in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/invitations_controller.php, line 37]
2011-01-19 01:29:51 Notice: Notice (8): Undefined index:  Invitacion in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/invitations_controller.php, line 37]
2011-01-19 01:32:11 Notice: Notice (8): Undefined index:  Invitacion in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/invitations_controller.php, line 37]
2011-01-19 16:27:54 Notice: Notice (8): Undefined index:  user in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/invitations_controller.php, line 34]
2011-01-21 13:05:26 Notice: Notice (8): Undefined index:  user in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/invitations_controller.php, line 34]
2011-01-21 13:08:26 Notice: Notice (8): Undefined index:  user in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/invitations_controller.php, line 34]
2011-01-21 14:02:16 Notice: Notice (8): Undefined variable: pending in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/invitations/view.ctp, line 16]
2011-01-21 14:02:16 Notice: Notice (8): Undefined variable: pending in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/invitations/view.ctp, line 17]
2011-01-21 14:02:16 Notice: Notice (8): Undefined variable: pending in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/invitations/view.ctp, line 18]
2011-01-21 14:03:34 Notice: Notice (8): Undefined index:  Invitation in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/invitations/view.ctp, line 16]
2011-01-21 14:03:34 Notice: Notice (8): Undefined index:  Invitation in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/invitations/view.ctp, line 17]
2011-01-21 14:03:34 Notice: Notice (8): Undefined index:  Invitation in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/invitations/view.ctp, line 18]
2011-01-21 14:11:39 Notice: Notice (8): Undefined variable: paginator in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/invitations/view.ctp, line 7]
2011-01-21 17:14:09 Notice: Notice (8): Undefined property:  ItemsController::$Imagenes in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/items_controller.php, line 45]
